Date,Price,BTC_Price_EUR,Price_in_BTC
8 de novembro de 2023,228.09,33284.6,0.006852718674702415
15 de novembro de 2023,230.42,34917.7,0.006598945520466698
22 de novembro de 2023,231.7,34368.3,0.0067416776506257214
29 de novembro de 2023,225.58,34520.4,0.006534686735959027
6 de dezembro de 2023,228.93,40662.1,0.005630058457384149
13 de dezembro de 2023,229.63,39427.4,0.0058241223108802505
20 de dezembro de 2023,231.15,39875.4,0.0057968070539731265
27 de dezembro de 2023,230.17,39149.5,0.005879257717212224
10 de janeiro de 2024,243.79,42564.5,0.005727542905472871
17 de janeiro de 2024,240.99,39276.3,0.006135761260607542
24 de janeiro de 2024,235.88,36828.3,0.006404857134323332
31 de janeiro de 2024,240.69,39405.7,0.006107999604118186
7 de fevereiro de 2024,237.98,41124.9,0.005786761791518034
14 de fevereiro de 2024,236.6,48268.0,0.004901798292864838
21 de fevereiro de 2024,238.49,47930.3,0.0049757668948452235
28 de fevereiro de 2024,238.13,57620.0,0.004132766400555363
6 de março de 2024,233.46,60633.8,0.0038503277050094173
13 de março de 2024,237.59,66765.6,0.0035585690834801153
20 de março de 2024,238.36,62092.8,0.0038387703566274997
27 de março de 2024,238.36,64213.9,0.0037119689039289004
10 de abril de 2024,231.94,65703.8,0.003530085017913728
16 de abril de 2024,237.8,60109.9,0.003956087100460989
17 de abril de 2024,237.96,57500.1,0.00413842758534333
23 de abril de 2024,236.9,62069.6,0.0038166832072383263
24 de abril de 2024,235.65,60078.4,0.003922374763642174
30 de abril de 2024,235.19,56833.5,0.00413822833364125
1 de maio de 2024,237.76,54336.5,0.004375695895024523
7 de maio de 2024,234.91,57982.4,0.00405140180468556
8 de maio de 2024,234.71,56937.6,0.004122232057550723
14 de maio de 2024,231.78,56905.2,0.004073089981231944
15 de maio de 2024,235.06,60785.2,0.0038670597448063017
21 de maio de 2024,235.22,64437.9,0.0036503362151777134
22 de maio de 2024,232.72,63808.6,0.0036471572797397217
28 de maio de 2024,227.73,62946.3,0.0036178456875145953
29 de maio de 2024,228.47,62555.7,0.0036522651013416846
4 de junho de 2024,228.11,64796.5,0.003520406194779039
5 de junho de 2024,228.06,65347.2,0.003489973556632878
11 de junho de 2024,227.09,62739.3,0.0036195813469388403
12 de junho de 2024,225.21,63141.0,0.003566779113412838
18 de junho de 2024,227.34,60649.6,0.003748417137128687
19 de junho de 2024,223.82,60448.9,0.0037026314788193002
25 de junho de 2024,226.45,57728.1,0.0039226996904453805
26 de junho de 2024,224.63,56910.8,0.003947053986238113
2 de julho de 2024,225.11,57720.8,0.0038999805962495323
3 de julho de 2024,227.6,55750.1,0.004082503887885403
9 de julho de 2024,227.3,53623.4,0.0042388211116788565
10 de julho de 2024,228.25,53320.6,0.004280709519397756
16 de julho de 2024,226.97,59740.4,0.003799271514753835
17 de julho de 2024,227.97,58604.0,0.0038900075080199304
23 de julho de 2024,228.6,60671.4,0.0037678378939665145
24 de julho de 2024,235.44,60322.4,0.0039030277309921356
30 de julho de 2024,236.4,61188.0,0.0038635026475779565
31 de julho de 2024,233.58,59728.2,0.003910715541402554
6 de agosto de 2024,234.93,51378.9,0.0045724996058693354
7 de agosto de 2024,236.09,50449.9,0.00467969213021235
13 de agosto de 2024,233.04,55150.0,0.0042255666364460565
14 de agosto de 2024,233.2,53320.6,0.004373544183673852
20 de agosto de 2024,235.76,53035.3,0.0044453411218565745
21 de agosto de 2024,234.64,54845.5,0.00427819966998204
28 de agosto de 2024,233.61,53073.0,0.004401673167147137
1 de janeiro de 2025,236.17,91186.0,0.002589980918123396
8 de janeiro de 2025,239.14,92219.0,0.0025931749422570187
15 de janeiro de 2025,240.08,97500.0,0.0024623589743589746
22 de janeiro de 2025,241.85,99650.7,0.0024269774321705718
29 de janeiro de 2025,238.79,99490.3,0.0024001334803493406
5 de fevereiro de 2025,241.4,92929.3,0.0025976737153943913
12 de fevereiro de 2025,241.39,94173.0,0.002563261231987937
19 de fevereiro de 2025,235.66,92670.8,0.002542980097290624
26 de fevereiro de 2025,236.51,80166.6,0.002950231143643362
5 de março de 2025,238.0,83998.1,0.002833397422084547
12 de março de 2025,235.74,76986.0,0.0030621151897747643
19 de março de 2025,236.95,79612.1,0.002976306365489668
26 de março de 2025,236.94,80893.8,0.0029290254630144705
2 de abril de 2025,238.5,75658.7,0.0031523142744985045
9 de abril de 2025,238.16,75446.9,0.003156657198639043
22  de outubro de 2025,236.87,92700.9,0.0025552071231239397
