"Date","Price","Open","High","Low","Vol.","Change %"
"10/29/2025","94,536.6","96,931.6","97,738.3","94,360.0","0.36K","-2.47%"
"10/28/2025","96,934.3","97,901.6","99,609.6","96,396.1","0.30K","-1.01%"
"10/27/2025","97,921.8","98,425.0","99,999.9","97,702.2","0.52K","-0.51%"
"10/26/2025","98,425.1","95,986.4","98,871.5","95,700.0","0.33K","2.56%"
"10/25/2025","95,972.3","95,465.6","96,200.0","95,231.2","0.19K","0.53%"
"10/24/2025","95,465.5","94,736.9","96,200.0","94,361.9","0.29K","0.77%"
"10/23/2025","94,736.9","92,700.1","95,821.1","92,650.0","0.36K","2.20%"
"10/22/2025","92,700.9","93,400.2","94,000.0","91,934.1","0.45K","-0.77%"
"10/21/2025","93,421.9","95,000.1","98,097.9","92,468.8","0.57K","-1.66%"
"10/20/2025","95,000.1","93,262.4","95,809.0","92,222.3","0.45K","1.83%"
"10/19/2025","93,291.2","92,099.0","94,128.0","91,200.1","0.26K","1.29%"
"10/18/2025","92,099.0","91,459.2","92,379.2","91,406.3","0.16K","0.70%"
"10/17/2025","91,459.2","92,520.4","93,339.0","88,620.1","0.92K","-1.16%"
"10/16/2025","92,534.5","95,163.9","96,117.0","92,068.6","0.69K","-2.76%"
"10/15/2025","95,164.6","97,559.3","97,815.2","94,815.0","0.67K","-2.47%"
"10/14/2025","97,570.8","99,722.8","99,955.0","95,123.4","0.58K","-2.13%"
"10/13/2025","99,691.8","99,303.2","100,300.0","98,426.0","0.39K","0.43%"
"10/12/2025","99,268.4","96,650.1","100,235.4","95,600.0","0.65K","2.72%"
"10/11/2025","96,640.5","98,166.7","98,650.7","95,633.5","0.77K","-1.77%"
"10/10/2025","98,380.1","105,200.0","105,909.0","91,752.0","1.42K","-6.48%"
"10/09/2025","105,192.9","106,051.2","106,580.2","103,710.1","0.71K","-0.79%"
"10/08/2025","106,029.7","104,180.6","106,955.0","104,180.6","0.34K","1.77%"
"10/07/2025","104,184.3","106,205.4","107,200.0","103,462.7","0.49K","-1.97%"
"10/06/2025","106,275.9","105,050.0","107,410.9","104,850.0","0.83K","1.17%"
"10/05/2025","105,048.9","104,000.0","106,204.5","103,588.1","0.52K","1.02%"
"10/04/2025","103,987.5","104,012.9","104,499.3","103,154.1","0.20K","0.00%"
"10/03/2025","103,991.1","102,783.5","105,335.4","101,616.7","0.73K","1.17%"
"10/02/2025","102,783.5","101,073.0","103,166.2","100,731.8","0.65K","1.73%"
"10/01/2025","101,040.4","97,221.1","101,073.0","97,100.1","0.62K","3.96%"
"09/30/2025","97,190.7","97,502.9","97,970.6","95,931.1","0.29K","-0.34%"
"09/29/2025","97,520.0","95,865.0","97,580.0","95,161.6","0.28K","1.73%"
"09/28/2025","95,864.9","93,827.1","96,027.5","93,450.0","0.13K","2.18%"
"09/27/2025","93,820.6","93,833.8","93,881.4","93,400.0","0.06K","-0.01%"
"09/26/2025","93,833.8","93,533.6","94,361.3","93,126.0","0.30K","0.31%"
"09/25/2025","93,540.4","96,557.7","96,702.1","93,270.1","0.53K","-3.10%"
"09/24/2025","96,534.5","94,830.8","97,117.4","94,311.9","0.32K","1.79%"
"09/23/2025","94,834.2","95,575.0","96,072.5","94,462.2","0.25K","-0.77%"
"09/22/2025","95,574.3","98,250.9","98,411.9","95,010.0","0.57K","-2.73%"
"09/21/2025","98,259.6","98,612.3","98,708.0","98,198.8","0.08K","-0.36%"
"09/20/2025","98,612.3","98,556.2","98,949.9","98,396.8","0.05K","0.06%"
"09/19/2025","98,556.1","99,357.5","99,700.0","98,110.0","0.26K","-0.79%"
"09/18/2025","99,345.4","98,505.7","100,075.1","98,300.1","0.43K","0.90%"
"09/17/2025","98,459.9","98,400.1","99,032.8","96,800.1","0.31K","0.06%"
"09/16/2025","98,400.1","98,091.7","98,600.0","97,100.0","0.27K","0.30%"
"09/15/2025","98,101.9","98,312.6","99,500.0","97,301.1","0.25K","-0.27%"
"09/14/2025","98,368.2","98,537.9","98,920.0","97,950.0","0.13K","-0.17%"
"09/13/2025","98,537.9","98,863.7","99,051.6","97,850.0","0.11K","-0.30%"
"09/12/2025","98,839.3","98,430.0","99,435.3","97,975.0","0.38K","0.45%"
"09/11/2025","98,392.0","97,355.2","98,392.0","96,785.5","0.53K","1.06%"
"09/10/2025","97,355.2","95,300.0","97,490.0","94,875.0","0.54K","2.17%"
"09/09/2025","95,291.4","95,232.0","96,241.4","94,391.4","0.25K","0.06%"
"09/08/2025","95,232.0","94,883.4","96,073.3","94,500.1","0.28K","0.35%"
"09/07/2025","94,900.6","94,123.9","95,240.0","94,123.9","0.10K","0.83%"
"09/06/2025","94,123.9","94,497.6","95,000.0","93,988.1","0.15K","-0.40%"
"09/05/2025","94,497.6","95,001.0","96,747.5","94,066.9","0.42K","-0.53%"
"09/04/2025","95,001.0","95,825.1","96,230.0","93,931.9","0.37K","-0.86%"
"09/03/2025","95,825.1","95,583.2","96,499.1","95,046.8","0.29K","0.25%"
"09/02/2025","95,583.2","93,254.8","95,795.4","93,022.6","0.32K","2.47%"
"09/01/2025","93,277.9","92,600.0","93,670.0","91,620.6","0.40K","0.73%"
"08/31/2025","92,600.0","93,198.4","93,737.1","92,500.0","0.10K","-0.64%"
"08/30/2025","93,198.4","92,803.7","93,275.7","92,000.1","0.14K","0.43%"
"08/29/2025","92,803.7","96,350.1","96,402.4","92,100.0","0.84K","-3.68%"
"08/28/2025","96,350.0","95,526.6","97,386.2","95,300.0","0.28K","0.86%"
"08/27/2025","95,526.6","96,072.7","97,188.3","95,330.7","0.40K","-0.57%"
"08/26/2025","96,072.7","94,854.4","96,562.7","93,381.4","0.37K","1.28%"
"08/25/2025","94,857.2","96,824.5","97,045.8","94,130.0","0.49K","-2.03%"
"08/24/2025","96,824.5","97,922.7","98,089.2","94,426.6","0.29K","-1.12%"
"08/23/2025","97,922.7","99,248.7","99,321.9","97,261.1","0.12K","-1.29%"
"08/22/2025","99,207.0","96,834.9","100,100.0","96,200.0","0.48K","2.48%"
"08/21/2025","96,809.0","98,101.9","98,500.0","96,516.4","0.27K","-1.32%"
"08/20/2025","98,101.9","96,964.2","98,375.3","96,481.1","0.30K","1.17%"
"08/19/2025","96,969.9","99,657.9","100,161.3","96,860.3","0.38K","-2.66%"
"08/18/2025","99,620.0","100,358.1","100,399.0","98,218.1","0.41K","-0.74%"
"08/17/2025","100,358.0","100,522.9","101,406.0","100,358.0","0.11K","-0.20%"
"08/16/2025","100,562.4","100,397.1","100,891.9","100,324.9","0.12K","0.16%"
"08/15/2025","100,397.1","101,620.6","102,341.1","99,900.0","0.36K","-1.20%"
"08/14/2025","101,620.6","104,900.0","105,564.7","100,794.4","1.01K","-3.13%"
"08/13/2025","104,900.1","102,829.9","105,000.0","101,777.3","0.55K","2.01%"
"08/12/2025","102,829.9","102,188.5","102,924.9","101,841.0","0.25K","0.63%"
"08/11/2025","102,186.5","102,222.1","104,597.0","101,736.5","0.68K","-0.03%"
"08/10/2025","102,222.1","99,642.7","102,222.1","99,642.6","0.19K","2.59%"
"08/09/2025","99,643.9","100,158.1","100,938.1","99,600.5","0.20K","-0.51%"
"08/08/2025","100,158.1","100,603.9","100,825.0","99,382.2","0.24K","-0.46%"
"08/07/2025","100,619.0","98,644.8","100,848.3","97,942.8","0.28K","2.00%"
"08/06/2025","98,644.7","98,582.9","99,299.7","97,816.4","0.20K","0.06%"
"08/05/2025","98,584.1","99,375.0","99,759.0","97,450.0","0.25K","-0.78%"
"08/04/2025","99,362.9","98,658.6","100,000.0","98,557.3","0.24K","0.73%"
"08/03/2025","98,640.2","97,230.4","99,248.9","96,725.0","0.24K","1.48%"
"08/02/2025","97,205.7","97,840.1","98,586.5","96,824.8","0.24K","-0.68%"
"08/01/2025","97,875.1","101,384.8","101,668.9","97,376.1","0.59K","-3.46%"
"07/31/2025","101,384.8","103,073.8","103,979.8","101,253.4","0.31K","-1.64%"
"07/30/2025","103,073.8","102,088.5","103,375.0","101,340.0","0.32K","0.95%"
"07/29/2025","102,103.8","101,800.0","103,229.6","101,350.1","0.33K","0.30%"
"07/28/2025","101,800.0","101,575.8","102,273.1","101,223.2","0.32K","0.23%"
"07/27/2025","101,564.4","100,384.9","101,835.0","100,334.5","0.17K","1.18%"
"07/26/2025","100,384.3","100,070.0","100,722.4","99,770.4","0.13K","0.31%"
"07/25/2025","100,070.0","100,697.8","100,829.3","97,716.7","0.42K","-0.59%"
"07/24/2025","100,667.3","100,853.7","101,593.6","99,755.4","0.25K","-0.18%"
"07/23/2025","100,853.7","102,203.6","102,260.0","99,755.4","0.32K","-1.32%"
"07/22/2025","102,203.6","100,408.1","102,312.2","99,501.1","0.34K","1.79%"
"07/21/2025","100,408.1","100,820.3","102,680.7","99,825.3","0.38K","-0.42%"
"07/20/2025","100,834.4","101,386.1","102,118.0","100,105.1","0.16K","-0.53%"
"07/19/2025","101,367.4","101,452.8","101,905.9","100,950.1","0.09K","-0.08%"
"07/18/2025","101,452.8","102,570.6","103,932.8","100,504.6","0.33K","-1.07%"
"07/17/2025","102,549.6","102,003.3","104,191.9","101,342.0","0.41K","0.54%"
"07/16/2025","102,003.2","101,437.4","103,120.5","100,800.4","0.42K","0.57%"
"07/15/2025","101,426.8","102,610.9","102,626.0","99,484.8","0.71K","-1.15%"
"07/14/2025","102,610.8","101,606.6","104,408.9","101,378.2","1.12K","1.00%"
"07/13/2025","101,590.2","99,800.0","101,650.0","99,725.6","0.37K","1.79%"
"07/12/2025","99,799.9","99,965.1","100,500.0","99,415.4","0.28K","-0.17%"
"07/11/2025","99,965.0","98,830.0","101,148.2","98,402.6","1.09K","1.16%"
"07/10/2025","98,816.5","94,823.9","99,500.0","94,457.0","0.96K","4.18%"
"07/09/2025","94,854.8","92,938.8","95,404.9","92,624.8","0.50K","2.08%"
"07/08/2025","92,924.7","92,255.6","93,250.0","91,551.7","0.27K","0.71%"
"07/07/2025","92,267.3","92,720.1","93,133.6","91,979.2","0.21K","-0.49%"
"07/06/2025","92,720.1","91,930.0","93,099.8","91,612.3","0.16K","0.86%"
"07/05/2025","91,930.0","91,787.9","92,072.0","91,628.6","0.14K","0.16%"
"07/04/2025","91,783.8","93,150.0","93,318.8","91,200.0","0.35K","-1.47%"
"07/03/2025","93,150.0","92,249.9","93,900.0","92,070.1","0.37K","0.98%"
